id,name,parking,reserved,fee,latitude,longitude,type
0,aldersyde petro-canada,20,False,False,50.695183,-113.886853,1
1,athabasca petro-canada,0,False,False,54.721738,-113.288573,0
2,bassano emmos esso,0,False,False,50.791287,-112.447865,0
3,bonnyville petro-canada,0,False,False,54.271896,-110.762361,0
4,brooks flying j fuel stop,20,False,False,50.572025,-111.870271,1
5,brooks petro-canada,0,False,False,50.55409,-111.890048,0
6,brooks petro-canada,0,False,False,0,0,0
7,calgary calgary fuel stop,30,False,False,51.007746,-113.99944,1
8,calgary flying j,128,False,False,50.950163,-113.978329,1
9,calgary flying j can dealer,80,False,False,51.00919,-114.00238,1
10,calgary flying j fuel stop,15,False,False,50.989619,-113.974642,1
11,calgary husky travel centre,60,False,False,51.080604,-113.99935,1
12,calgary petro-canada,15,False,False,50.998986,-113.960626,1
13,calgary petro-canada,0,False,False,51.05231,-113.996943,0
14,calgary petro-canada,15,False,False,51.087081,-114.473605,1
15,calgary petro-canada,0,False,False,51.150907,-114.006867,0
16,calgary road king travel centre,100,False,False,51.010196,-114.001976,1
17,camrose petro-canada,0,False,False,53.007016,-112.833284,0
18,carstairs petro-canada,0,False,False,51.571938,-114.097225,0
19,clairmont husky travel centre,30,False,False,55.233422,-118.793213,1
20,cluny wilsons service station,0,False,False,50.863408,-112.866801,0
21,cold lake petro-canada,0,False,False,0,0,0
22,coronation petro-canada,0,False,False,52.088875,-111.439079,0
23,deadmans flat husky travel centre,0,False,False,51.096703,-115.354897,0
24,drayton valley esso cardlock,0,False,False,53.226484,-114.978446,0
25,drayton valley petro-canada,10,False,False,53.570562,-113.591723,1
26,drumheller petro-canada,0,False,False,51.461209,-112.728773,0
27,edmonton country boyz tempo,10,False,False,53.569116,-113.171761,1
28,edmonton flying j can dealer,40,False,False,53.571632,-113.613213,1
29,edmonton flying j cardlock,0,False,False,53.61787,-113.53018,0
30,edmonton husky travel centre,0,False,False,53.563553,-113.765755,0
31,edmonton petro-canada,100,False,False,53.51629,-113.418303,1
32,edmonton petro-canada,0,False,False,53.542921,-113.768921,0
33,edmonton petro-canada,0,False,False,53.563266,-113.760959,0
34,edmonton petro-canada,0,False,False,53.570607,-113.591766,0
35,edmonton petro-canada,20,False,False,53.58057,-113.433344,1
36,edmonton west edmonton esso truck stop,5,False,False,53.569434,-113.609812,0
37,edson petro-canada,15,False,False,53.576009,-116.457202,1
38,falher petro-canada,0,False,False,56.234377,-117.343018,0
39,fawcett fawcett truck stop,0,False,False,54.5416,-114.0948,0
40,fort mackay petro-canada,15,False,False,0,0,1
41,fort mckay petro-canada,0,False,False,0,0,0
42,fort mcmurray petro-canada,0,False,False,56.66842,-111.344633,0
43,fort mcmurray petro-canada,0,False,False,56.764756,-111.424713,0
44,fort saskatchewan petro-canada,0,False,False,53.70777,-113.193941,0
45,fox creek petro-canada,0,False,False,54.393002,-116.798959,0
46,grande prairie petro-canada,0,False,False,55.16725,-118.837802,0
47,grande prairie petro-canada,0,False,False,55.17154,-118.857287,0
48,grande prairie petro-canada,36,False,False,55.205545,-118.792312,1
49,grassland husky travel centre,0,False,False,54.8205,-112.6854,0
50,hanna flying j can dealer,75,False,False,51.61932,-111.8497,1
51,hardisty petro-canada,100,False,False,52.675712,-111.301125,1
52,high level petro-canada,0,False,False,58.498504,-117.14756,0
53,high prairie petro-canada,0,False,False,55.432958,-116.504517,0
54,hinton husky travel centre,0,False,False,53.39442,-117.60352,0
55,hinton petro-canada,10,False,False,53.396304,-117.600617,1
56,hythe esso,0,False,False,55.330224,-119.558104,0
57,lac la biche petro-canada,3,False,False,0,0,0
58,leduc nisku truck stop,0,False,False,53.339239,-113.542488,0
59,lethbridge petro-canada,15,False,False,49.700434,-112.79146,1
60,lloydminster husky travel centre,0,False,False,53.278022,-110.026126,0
61,lloydminster petro-canada,0,False,False,53.278481,-110.029911,0
62,medicine hat flying j travel plaza,30,False,False,50.054621,-110.734791,1
63,medicine hat husky travel centre,0,False,False,50.025225,-110.699953,0
64,medicine hat petro-canada,52,False,False,50.022065,-110.709915,1
65,milk river southgate gas plus,30,False,False,49.156324,-112.08988,1
66,nanton flying j can dealer,3,False,False,50.3419,-113.766006,0
67,nisku flying j fuel stop,0,False,False,53.338064,-113.542675,0
68,nisku petro-canada,70,False,False,53.337357,-113.542349,1
69,niton junction niton shell,8,False,False,53.618092,-115.769961,1
70,olds petro-canada,6,False,False,51.795027,-114.096258,1
71,peace river petro-canada,0,False,False,56.234418,-117.342997,0
72,pincher creek hwy 3 and 6 husky,0,False,False,49.485271,-113.948059,0
73,pincher creek petro-canada,0,False,False,49.485594,-113.932042,0
74,provost petro-canada,0,False,False,52.352354,-110.261407,0
75,red deer esso,0,False,False,52.316503,-113.836491,0
76,red deer flying j fuel stop,0,False,False,52.28817,-113.84458,0
77,red deer petro-canada,0,False,False,52.263548,-113.822823,0
78,red deer petro-canada,26,False,False,52.314644,-113.840053,1
79,red earth creek petro-canada,0,False,False,0,0,0
80,redcliff petro-canada,0,False,False,50.076735,-110.761591,0
81,redcliff transcanada truck stop,0,False,False,50.069776,-110.756521,0
82,rocky mountain house esso,0,False,False,52.373097,-114.903946,0
83,rocky mountain house petro-canada,50,False,False,52.370464,-114.909739,1
84,rycroft flying j fuel stop,0,False,False,55.75839,-118.695,0
85,sherwood park country boyz tempo wye road,0,False,False,53.504984,-113.050445,0
86,sherwood park flying j,8,False,False,53.565884,-113.317796,1
87,sherwood park roadking travel centre,3,False,False,53.566885,-113.323727,0
88,slave lake petro-canada,142,False,False,55.292142,-114.761424,1
89,stettler petro-canada,20,False,False,52.322763,-112.681081,1
90,strathmore husky travel centre,0,False,False,51.039012,-113.388481,0
91,strathmore petro-canada,0,False,False,51.038385,-113.394828,0
92,strathmore shell canada,5,False,False,55.054186,-117.280051,0
93,sundre petro-canada,0,False,False,0,0,0
94,taber petro-canada,0,False,False,49.792693,-112.127538,0
95,three hills petro-canada,0,False,False,51.706914,-113.255117,0
96,two hills petro-canada,0,False,False,53.716025,-111.745999,0
97,valleyview petro-canada,0,False,False,0,0,0
98,vegreville petro-canada,0,False,False,0,0,0
99,viking petro-canada,0,False,False,53.095106,-111.783078,0
100,vulcan petro-canada,0,False,False,50.40596,-113.254281,0
101,wainwright husky travel centre,0,False,False,52.8430532,-110.8517688,0
102,walsh walsh shell,20,False,False,49.943611,-110.043118,1
103,westlock petro-canada,0,False,False,54.152445,-113.844109,0
104,wetaskiwin petro-canada,10,False,False,52.971283,-113.390279,1
105,whitecourt petro-canada,0,False,False,54.131605,-115.666208,0
106,whitecourt petro-canada,2,False,False,54.143245,-115.711484,0
107,anchorage essential 1,0,False,False,61.136868,-149.879582,0
108,anchorage holiday,0,False,False,61.124594,-149.864555,0
109,anchorage holiday,3,False,False,61.18126,-149.867151,0
110,anchorage holiday,3,False,False,61.217126,-149.853762,0
111,anchorage holiday station,0,False,False,61.220931,-149.733273,0
112,big lake fishers fuel,0,False,False,61.621128,-149.798091,0
113,coldfoot coldfoot camp,0,False,False,67.25172,-150.178828,0
114,delta junction buffalo center service,25,False,False,64.040743,-145.734871,1
115,eagle eagle trading company,10,False,False,64.78757,-141.19957,1
116,fairbanks hilltop truck stop,25,False,False,65.024256,-147.651392,1
117,fairbanks holiday station,0,False,False,64.826271,-147.713521,0
118,fairbanks parks highway truck stop,40,False,False,64.846566,-147.950492,1
119,fairbanks sourdough fuel derby,25,False,False,64.852443,-147.750159,1
120,fairbanks tesoro truck stop,0,False,False,64.813576,-147.709434,0
121,glennallen glennallen fuel,5,False,False,62.114869,-145.495876,0
122,glennallen hub of alaska,25,False,False,62.108256,-145.477408,1
123,haines bigfoot auto service,25,False,False,59.237045,-135.471244,1
124,healy fisher fuel,10,False,False,63.875805,-149.020647,1
125,kasilof kasilof riverview tesoro,25,False,False,60.318101,-151.260652,1
126,ninilchik chinook tesoro,0,False,False,60.039548,-151.675627,0
127,soldotna big johns of soldotna,3,False,False,60.501225,-150.982491,0
128,sunshine tesoro north #78,0,False,False,62.136292,-150.041908,0
129,tok northern energy corp,0,False,False,63.142374,-143.252595,0
130,tok northern energy corp,25,False,False,63.337423,-143.008354,1
131,tok youngs chevron service,0,False,False,63.334917,-142.986447,0
132,abbeville bp food mart,25,False,False,31.551855,-85.284056,1
133,adamsville mk one stop,3,False,False,33.606332,-86.95697,0
134,alexander city citgo,25,False,False,32.928118,-85.964733,1
135,alexander city shop-n-fill,25,False,False,32.904497,-85.897455,1
136,alexandria mapco,3,False,False,33.782772,-85.896625,0
137,aliceville mcbride tire service center,2,False,False,33.129615,-88.159802,0
138,altoona snead chevron,0,False,False,34.118876,-86.395718,0
139,ashford inland truck stop,0,False,False,31.179828,-85.247894,0
140,ashville ashville texaco,25,False,False,33.86476,-86.288516,1
141,ashville bama chevron,0,False,False,33.863272,-86.287502,0
142,atmore creek travel plaza,15,False,False,31.086293,-87.539173,1
143,atmore diamond gasoline,25,False,False,31.029929,-87.496576,1
144,atmore diamond gasoline,2,False,False,31.081644,-87.530607,0
145,atmore rjs diamond gasoline,88,False,False,31.108851,-87.475198,1
146,axis midway truck stop,0,False,False,30.936719,-88.025761,0
147,bay minette minute stop 9,20,False,False,30.951575,-87.856251,1
148,birmingham concoc finley,25,False,False,33.539172,-86.827906,1
