id,name,parking,reserved,fee,latitude,longitude
10000,aldersyde petro-canada,20,False,False,50.695183,-113.886853
10001,athabasca petro-canada,0,False,False,54.721738,-113.288573
10002,bassano emmos esso,0,False,False,50.791287,-112.447865
10003,bonnyville petro-canada,0,False,False,54.271896,-110.762361
10004,brooks flying j fuel stop,20,False,False,50.572025,-111.870271
10005,brooks petro-canada,0,False,False,50.55409,-111.890048
10006,brooks petro-canada,0,False,False,0,0
10007,calgary calgary fuel stop,30,False,False,51.007746,-113.99944
10008,calgary flying j,128,False,False,50.950163,-113.978329
10009,calgary flying j can dealer,80,False,False,51.00919,-114.00238
10010,calgary flying j fuel stop,15,False,False,50.989619,-113.974642
10011,calgary husky travel centre,60,False,False,51.080604,-113.99935
10012,calgary petro-canada,15,False,False,50.998986,-113.960626
10013,calgary petro-canada,0,False,False,51.05231,-113.996943
10014,calgary petro-canada,15,False,False,51.087081,-114.473605
10015,calgary petro-canada,0,False,False,51.150907,-114.006867
10016,calgary road king travel centre,100,False,False,51.010196,-114.001976
10017,camrose petro-canada,0,False,False,53.007016,-112.833284
10018,carstairs petro-canada,0,False,False,51.571938,-114.097225
10019,clairmont husky travel centre,30,False,False,55.233422,-118.793213
10020,cluny wilsons service station,0,False,False,50.863408,-112.866801
10021,cold lake petro-canada,0,False,False,0,0
10022,coronation petro-canada,0,False,False,52.088875,-111.439079
10023,deadmans flat husky travel centre,0,False,False,51.096703,-115.354897
10024,drayton valley esso cardlock,0,False,False,53.226484,-114.978446
10025,drayton valley petro-canada,10,False,False,53.570562,-113.591723
10026,drumheller petro-canada,0,False,False,51.461209,-112.728773
10027,edmonton country boyz tempo,10,False,False,53.569116,-113.171761
10028,edmonton flying j can dealer,40,False,False,53.571632,-113.613213
10029,edmonton flying j cardlock,0,False,False,53.61787,-113.53018
10030,edmonton husky travel centre,0,False,False,53.563553,-113.765755
10031,edmonton petro-canada,100,False,False,53.51629,-113.418303
10032,edmonton petro-canada,0,False,False,53.542921,-113.768921
10033,edmonton petro-canada,0,False,False,53.563266,-113.760959
10034,edmonton petro-canada,0,False,False,53.570607,-113.591766
10035,edmonton petro-canada,20,False,False,53.58057,-113.433344
10036,edmonton west edmonton esso truck stop,5,False,False,53.569434,-113.609812
10037,edson petro-canada,15,False,False,53.576009,-116.457202
10038,falher petro-canada,0,False,False,56.234377,-117.343018
10039,fawcett fawcett truck stop,0,False,False,54.5416,-114.0948
10040,fort mackay petro-canada,15,False,False,0,0
10041,fort mckay petro-canada,0,False,False,0,0
10042,fort mcmurray petro-canada,0,False,False,56.66842,-111.344633
10043,fort mcmurray petro-canada,0,False,False,56.764756,-111.424713
10044,fort saskatchewan petro-canada,0,False,False,53.70777,-113.193941
10045,fox creek petro-canada,0,False,False,54.393002,-116.798959
10046,grande prairie petro-canada,0,False,False,55.16725,-118.837802
10047,grande prairie petro-canada,0,False,False,55.17154,-118.857287
10048,grande prairie petro-canada,36,False,False,55.205545,-118.792312
10049,grassland husky travel centre,0,False,False,54.8205,-112.6854
10050,hanna flying j can dealer,75,False,False,51.61932,-111.8497
10051,hardisty petro-canada,100,False,False,52.675712,-111.301125
10052,high level petro-canada,0,False,False,58.498504,-117.14756
10053,high prairie petro-canada,0,False,False,55.432958,-116.504517
10054,hinton husky travel centre,0,False,False,53.39442,-117.60352
10055,hinton petro-canada,10,False,False,53.396304,-117.600617
10056,hythe esso,0,False,False,55.330224,-119.558104
10057,lac la biche petro-canada,3,False,False,0,0
10058,leduc nisku truck stop,0,False,False,53.339239,-113.542488
10059,lethbridge petro-canada,15,False,False,49.700434,-112.79146
10060,lloydminster husky travel centre,0,False,False,53.278022,-110.026126
10061,lloydminster petro-canada,0,False,False,53.278481,-110.029911
10062,medicine hat flying j travel plaza,30,False,False,50.054621,-110.734791
10063,medicine hat husky travel centre,0,False,False,50.025225,-110.699953
10064,medicine hat petro-canada,52,False,False,50.022065,-110.709915
10065,milk river southgate gas plus,30,False,False,49.156324,-112.08988
10066,nanton flying j can dealer,3,False,False,50.3419,-113.766006
10067,nisku flying j fuel stop,0,False,False,53.338064,-113.542675
10068,nisku petro-canada,70,False,False,53.337357,-113.542349
10069,niton junction niton shell,8,False,False,53.618092,-115.769961
10070,olds petro-canada,6,False,False,51.795027,-114.096258
10071,peace river petro-canada,0,False,False,56.234418,-117.342997
10072,pincher creek hwy 3 and 6 husky,0,False,False,49.485271,-113.948059
10073,pincher creek petro-canada,0,False,False,49.485594,-113.932042
10074,provost petro-canada,0,False,False,52.352354,-110.261407
10075,red deer esso,0,False,False,52.316503,-113.836491
10076,red deer flying j fuel stop,0,False,False,52.28817,-113.84458
10077,red deer petro-canada,0,False,False,52.263548,-113.822823
10078,red deer petro-canada,26,False,False,52.314644,-113.840053
10079,red earth creek petro-canada,0,False,False,0,0
10080,redcliff petro-canada,0,False,False,50.076735,-110.761591
10081,redcliff transcanada truck stop,0,False,False,50.069776,-110.756521
10082,rocky mountain house esso,0,False,False,52.373097,-114.903946
10083,rocky mountain house petro-canada,50,False,False,52.370464,-114.909739
10084,rycroft flying j fuel stop,0,False,False,55.75839,-118.695
10085,sherwood park country boyz tempo wye road,0,False,False,53.504984,-113.050445
10086,sherwood park flying j,8,False,False,53.565884,-113.317796
10087,sherwood park roadking travel centre,3,False,False,53.566885,-113.323727
10088,slave lake petro-canada,142,False,False,55.292142,-114.761424
10089,stettler petro-canada,20,False,False,52.322763,-112.681081
10090,strathmore husky travel centre,0,False,False,51.039012,-113.388481
10091,strathmore petro-canada,0,False,False,51.038385,-113.394828
10092,strathmore shell canada,5,False,False,55.054186,-117.280051
10093,sundre petro-canada,0,False,False,0,0
10094,taber petro-canada,0,False,False,49.792693,-112.127538
10095,three hills petro-canada,0,False,False,51.706914,-113.255117
10096,two hills petro-canada,0,False,False,53.716025,-111.745999
10097,valleyview petro-canada,0,False,False,0,0
10098,vegreville petro-canada,0,False,False,0,0
10099,viking petro-canada,0,False,False,53.095106,-111.783078
10100,vulcan petro-canada,0,False,False,50.40596,-113.254281
10101,wainwright husky travel centre,0,False,False,52.8430532,-110.8517688
10102,walsh walsh shell,20,False,False,49.943611,-110.043118
10103,westlock petro-canada,0,False,False,54.152445,-113.844109
10104,wetaskiwin petro-canada,10,False,False,52.971283,-113.390279
10105,whitecourt petro-canada,0,False,False,54.131605,-115.666208
10106,whitecourt petro-canada,2,False,False,54.143245,-115.711484
10107,anchorage essential 1,0,False,False,61.136868,-149.879582
10108,anchorage holiday,0,False,False,61.124594,-149.864555
10109,anchorage holiday,3,False,False,61.18126,-149.867151
10110,anchorage holiday,3,False,False,61.217126,-149.853762
10111,anchorage holiday station,0,False,False,61.220931,-149.733273
10112,big lake fishers fuel,0,False,False,61.621128,-149.798091
10113,coldfoot coldfoot camp,0,False,False,67.25172,-150.178828
10114,delta junction buffalo center service,25,False,False,64.040743,-145.734871
10115,eagle eagle trading company,10,False,False,64.78757,-141.19957
10116,fairbanks hilltop truck stop,25,False,False,65.024256,-147.651392
10117,fairbanks holiday station,0,False,False,64.826271,-147.713521
10118,fairbanks parks highway truck stop,40,False,False,64.846566,-147.950492
10119,fairbanks sourdough fuel derby,25,False,False,64.852443,-147.750159
10120,fairbanks tesoro truck stop,0,False,False,64.813576,-147.709434
10121,glennallen glennallen fuel,5,False,False,62.114869,-145.495876
10122,glennallen hub of alaska,25,False,False,62.108256,-145.477408
10123,haines bigfoot auto service,25,False,False,59.237045,-135.471244
10124,healy fisher fuel,10,False,False,63.875805,-149.020647
10125,kasilof kasilof riverview tesoro,25,False,False,60.318101,-151.260652
10126,ninilchik chinook tesoro,0,False,False,60.039548,-151.675627
10127,soldotna big johns of soldotna,3,False,False,60.501225,-150.982491
10128,sunshine tesoro north #78,0,False,False,62.136292,-150.041908
10129,tok northern energy corp,0,False,False,63.142374,-143.252595
10130,tok northern energy corp,25,False,False,63.337423,-143.008354
10131,tok youngs chevron service,0,False,False,63.334917,-142.986447
10132,abbeville bp food mart,25,False,False,31.551855,-85.284056
10133,adamsville mk one stop,3,False,False,33.606332,-86.95697
10134,alexander city citgo,25,False,False,32.928118,-85.964733
10135,alexander city shop-n-fill,25,False,False,32.904497,-85.897455
10136,alexandria mapco,3,False,False,33.782772,-85.896625
10137,aliceville mcbride tire service center,2,False,False,33.129615,-88.159802
10138,altoona snead chevron,0,False,False,34.118876,-86.395718
10139,ashford inland truck stop,0,False,False,31.179828,-85.247894
10140,ashville ashville texaco,25,False,False,33.86476,-86.288516
10141,ashville bama chevron,0,False,False,33.863272,-86.287502
10142,atmore creek travel plaza,15,False,False,31.086293,-87.539173
10143,atmore diamond gasoline,25,False,False,31.029929,-87.496576
10144,atmore diamond gasoline,2,False,False,31.081644,-87.530607
10145,atmore rjs diamond gasoline,88,False,False,31.108851,-87.475198
10146,axis midway truck stop,0,False,False,30.936719,-88.025761
10147,bay minette minute stop 9,20,False,False,30.951575,-87.856251
10148,birmingham concoc finley,25,False,False,33.539172,-86.827906
10149,birmingham finley shell,25,False,False,33.542825,-86.824736
10150,birmingham flying j travel plaza,25,False,False,33.562502,-86.831128
10151,birmingham kangaroo express,10,False,False,33.551366,-86.782723
10152,birmingham pilot travel center,0,False,False,33.529903,-86.850799
10153,birmingham shell finley,157,False,True,33.542333,-86.82452
10154,blountsville spring valley super stop,10,False,False,34.165983,-86.516644
10155,boaz hilley 179 quick mart,100,False,False,34.188954,-86.189397
10156,boaz kangaroo express,0,False,False,34.217921,-86.157779
10157,boligee boligee truck stop,10,False,False,32.794266,-88.030246
10158,brent supermart #355,0,False,False,32.958689,-87.171258
10159,brewton diamond gasoline,0,False,False,31.136446,-87.069018
10160,brewton kangaroo express,0,False,False,31.201798,-87.310676
10161,brewton range shell,10,False,False,31.277368,-87.206299
10162,brewton yellow hammer travel center,0,False,False,31.200367,-87.311485
10163,brighton blue bird bp,30,False,False,33.443623,-86.930352
